user_id,game_id,installers,retained_users,minuted_played_install_day,,,,
ZZZyrdne,game_3,1,0,5,,,,
zzzrsbtQ,game_2,1,0,7,,,,
zzZRIqJI,game_1,1,1,9,,,,
zzzPqGoZ,game_4,1,0,7,,,,
ZZyxJppn,game_1,1,0,1,,,,
zZYGveQw,game_3,1,0,8,,,,
ZZyFsrQE,game_1,1,0,4,,,,
ZzydMVyU,game_1,1,0,2,,,,
zZYAtgeA,game_4,1,0,2,,,,
zZXgHOqY,game_3,1,0,2,,,,
zZvrsNWo,game_1,1,0,6,,,,
ZZVgdGSV,game_1,1,1,1,,,,
zzukgsOm,game_3,1,1,10,,,,
zzufmqRb,game_2,1,0,1,,,,
zzuAPkYg,game_4,1,0,8,,,,
zZtyUmOv,game_2,1,1,9,,,,
ZZtPiulk,game_3,1,0,10,,,,
zZsPIQaS,game_1,1,0,3,,,,
ZZSlpKZd,game_4,1,0,8,,,,
zZrWkjNv,game_4,1,0,3,,,,
zZrFMBwO,game_2,1,0,5,,,,
ZZrAzDZO,game_3,1,0,8,,,,
zZPXBAUp,game_4,1,0,7,,,,
ZZpdRgWu,game_4,1,0,6,,,,
zzPAhobg,game_2,1,0,10,,,,
zzouTxSK,game_4,1,0,6,,,,
zzOqiMgj,game_4,1,0,3,,,,
zZoKAxln,game_2,1,0,7,,,,
ZZNudfMp,game_1,1,0,5,,,,
zzNbPxmO,game_3,1,0,2,,,,
ZZMqQYSA,game_4,1,0,10,,,,
ZZLBtHiW,game_2,1,0,10,,,,
ZzKypexp,game_2,1,0,5,,,,
ZzKGVKgp,game_1,1,0,2,,,,
ZZjHlAKW,game_3,1,0,10,,,,
ZZILhwVm,game_4,1,0,10,,,,
zZIHFuZP,game_2,1,1,1,,,,
ZzhxFjOK,game_3,1,0,10,,,,
ZZhQlXRL,game_4,1,0,1,,,,
zZHhqgVs,game_1,1,1,9,,,,
ZzHeaLLK,game_2,1,0,7,,,,
ZzGwcUWA,game_2,1,0,4,,,,
zzgBJHlk,game_2,1,0,6,,,,
ZzFxjFhR,game_2,1,0,7,,,,
zzDJoIAW,game_1,1,1,5,,,,
ZzDeFRGa,game_3,1,0,5,,,,
ZzcczHwm,game_1,1,0,7,,,,
zZbSftPG,game_3,1,1,7,,,,
ZZBnkcoa,game_4,1,0,3,,,,
zZbEJCSb,game_1,1,1,4,,,,
ZzAXITAj,game_1,1,1,8,,,,
zZaULmxS,game_3,1,0,6,,,,
ZZaSUdFM,game_4,1,0,3,,,,
zzArzeYz,game_4,1,0,2,,,,
ZzabOASS,game_4,1,0,4,,,,
zyZMrSEA,game_2,1,0,8,,,,
zYYXfxCz,game_3,1,0,4,,,,
ZyYguhwv,game_3,1,0,4,,,,
zyXYhYIj,game_3,1,0,5,,,,
ZYXlCOsR,game_4,1,1,5,,,,
zyxBpyzk,game_4,1,0,5,,,,
zYwTjQyy,game_2,1,0,8,,,,
ZyWMvjyB,game_1,1,0,8,,,,
ZyVimvBt,game_2,1,0,8,,,,
zYULVJnd,game_4,1,0,3,,,,
ZyuiWwVg,game_1,1,0,6,,,,
zyuIuLIn,game_2,1,0,10,,,,
zYTIzPhC,game_2,1,0,5,,,,
zytCTsui,game_1,1,1,10,,,,
zYSXQuHm,game_4,1,1,10,,,,
zYsPGSFd,game_3,1,0,5,,,,
zySinJSb,game_4,1,0,6,,,,
zYSETEiE,game_1,1,0,3,,,,
ZYrwOASs,game_4,1,0,2,,,,
ZyrSfhbw,game_3,1,0,2,,,,
zyRDCMsO,game_3,1,0,2,,,,
ZyqVRUEf,game_2,1,0,8,,,,
ZYQdaNuS,game_1,1,0,4,,,,
zYpvfukz,game_1,1,0,5,,,,
zyPVEyQI,game_1,1,0,7,,,,
zyOwduSn,game_3,1,0,6,,,,
ZyOpIuLe,game_4,1,0,1,,,,
ZYOOumNc,game_3,1,0,1,,,,
zYoCTPif,game_3,1,0,5,,,,
zYoBAUEc,game_3,1,0,6,,,,
ZyNuUldc,game_4,1,0,9,,,,
ZYnCneXI,game_1,1,0,5,,,,
zYMvnBme,game_4,1,0,7,,,,
ZYMeCwgE,game_4,1,0,10,,,,
ZYLqaiFx,game_3,1,1,8,,,,
ZyKeUGmP,game_1,1,0,7,,,,
zyJrKUvl,game_2,1,0,10,,,,
ZyjAPNOo,game_3,1,1,5,,,,
ZyhICEdJ,game_4,1,0,10,,,,
zYgwFXDy,game_4,1,1,10,,,,
zyFaMeLg,game_1,1,0,2,,,,
zyeZhvQY,game_3,1,0,5,,,,
ZyEszRBF,game_2,1,0,7,,,,
zYEpsQUl,game_2,1,0,10,,,,
ZydAcQoz,game_2,1,0,2,,,,
ZYcVkMzB,game_1,1,1,1,,,,
zYbXTTbd,game_3,1,0,6,,,,
zYBOqsLB,game_3,1,0,5,,,,
zYbOKsOy,game_1,1,0,1,,,,
ZYBkbcUN,game_3,1,0,9,,,,
zybBtCRl,game_1,1,0,3,,,,
ZYbAHeUM,game_2,1,0,1,,,,
ZyatutQH,game_1,1,0,9,,,,
zXZZFxhN,game_1,1,0,6,,,,
zxZTclDc,game_1,1,1,10,,,,
zxZDTNvf,game_4,1,0,7,,,,
ZXywXfdN,game_1,1,0,2,,,,
ZXyVMOSJ,game_4,1,0,7,,,,
ZXYLIxLe,game_1,1,0,6,,,,
zxxZYPlJ,game_3,1,0,3,,,,
ZXxSscDv,game_1,1,0,2,,,,
zXWlWstU,game_3,1,0,1,,,,
ZxwKyGGI,game_3,1,1,10,,,,
zXWGqNrR,game_1,1,0,4,,,,
zXwgNfgg,game_1,1,0,9,,,,
ZxWGlKZE,game_2,1,0,8,,,,
zXvYfRBK,game_1,1,0,2,,,,
ZxvGCRtj,game_3,1,0,8,,,,
ZxUZbTlB,game_3,1,0,4,,,,
ZxUvHtCH,game_3,1,0,6,,,,
zxuldVSO,game_1,1,1,10,,,,
zxtWQXYB,game_2,1,0,8,,,,
ZxtmelRd,game_4,1,0,10,,,,
zXSKkOKS,game_4,1,0,8,,,,
zXsAjDTt,game_4,1,1,4,,,,
zxrzxTTk,game_3,1,0,2,,,,
zxrXToaf,game_4,1,0,4,,,,
zXRGNiDk,game_4,1,0,3,,,,
ZXrdfayC,game_4,1,0,3,,,,
zxQSEGON,game_4,1,0,2,,,,
zXOWsEFe,game_3,1,0,1,,,,
